P_simN,P (bar),LoadingVapAds [molec/nm3],dV,t0
Pvap1,3.814697266e-06,0.0,0.0,0
Pvap2,7.629394531e-06,0.022106210671251736,0.0,0
Pvap3,1.525878906e-05,0.04421242134250347,0.0,0
Pvap4,3.051757813e-05,0.08842484268500694,0.0,0
Pvap5,6.103515625e-05,0.19895589604126562,0.0,0
Pvap6,0.0001220703125,0.3585351043243641,0.002246081411319919,6
Pvap7,0.000244140625,0.5573528365489344,0.0028394659459707854,0
Pvap8,0.00048828125,0.7135393555554033,0.003288926241343302,1
Pvap9,0.0009765625,0.8107452763681575,0.003461902082418237,0
Pvap10,0.001953125,0.8737874521574236,0.0046917110024716656,0
Pvap11,0.00390625,0.9251054412156865,0.00534691345099818,0
Pvap12,0.0078125,0.965567701819317,0.006245495523713923,0
Pvap13,0.015625,1.007016846827914,0.0059011795153429995,0
Pvap14,0.03125,1.0304717995192867,0.0060611535529552975,2
Pvap15,0.04,1.0459000923835977,0.006322113643544989,0
Pvap16,0.05,1.0411630472397582,0.006668114445281216,0
Pvap17,1.907348633e-06,0.0,0.0,0
Pvap18,9.536743164e-07,0.0,0.0,0
Pvap19,4.768371582e-07,0.0,0.0,0
Pvap20,2.384185791e-07,0.0,0.0,0
