P_simN,P (bar),LoadingVapAds [molec/nm3],dV,t0
Pvap1,3.814697266e-06,0.21977536626978425,0.003059866961083129,9
Pvap2,7.629394531e-06,0.39970450308978583,0.0026262693083604948,0
Pvap3,1.525878906e-05,0.6519684017646685,0.0030988111577044033,0
Pvap4,3.051757813e-05,0.907672262694209,0.0035061381034141373,0
Pvap5,6.103515625e-05,1.074510432045097,0.002632179076569979,15
Pvap6,0.0001220703125,1.163949450666192,0.0032824850013496018,0
Pvap7,0.000244140625,1.2173644201204572,0.0052723397530073,0
Pvap8,0.00048828125,1.2747449016182855,0.00991536628496067,0
Pvap9,0.0009765625,1.3572084412229917,0.01386258627470942,0
Pvap10,0.001953125,1.4810948596441982,0.018036932064925026,13
Pvap11,0.00390625,1.6062712639109016,0.019295546662249353,0
Pvap12,0.0078125,1.7092312452829417,0.01304773908914267,24
Pvap13,0.015625,1.7749249688961923,0.007335007671943678,38
Pvap14,0.03125,1.7810677586366523,0.005484912309858102,43
Pvap15,0.04,1.7971148488722237,0.00657702481554425,5
Pvap16,0.05,1.8021580034122309,0.004878795724403415,35
Pvap17,1.907348633e-06,0.3248853240509854,0.008037376111744864,6
Pvap18,9.536743164e-07,0.11609872609469037,0.00135134479849671,0
Pvap19,4.768371582e-07,0.057332704244291544,0.0,0
Pvap20,2.384185791e-07,0.019110901414763848,0.0,0
