P_simN,P (bar),LoadingVapAds [molec/nm3],dV,t0
Pvap1,3.814697266e-06,0.43173597488818455,0.005009569105363897,0
Pvap2,7.629394531e-06,0.653200539784531,0.005127562370100726,0
Pvap3,1.525878906e-05,0.8226968854813739,0.0048235152758562445,0
Pvap4,3.051757813e-05,0.9246345462188618,0.002120023857816807,0
Pvap5,6.103515625e-05,0.9790012986121889,0.005433573876927258,0
Pvap6,0.0001220703125,1.023374162697919,0.0,0
Pvap7,0.000244140625,1.0657482491221297,0.005009569105363897,0
Pvap8,0.00048828125,1.1552934883581976,0.0033997708393872926,0
Pvap9,0.0009765625,1.3171944789412666,0.006074283616764959,0
Pvap10,0.001953125,1.5617116128671364,0.007640291882013076,1
Pvap11,0.00390625,1.7857079628014076,0.006162847360825706,0
Pvap12,0.0078125,1.9124304665417358,0.0036837719526182067,0
Pvap13,0.015625,1.9791896404364828,0.00296803340094353,0
Pvap14,0.03125,2.008371794294666,0.00406305781852837,0
Pvap15,0.04,2.014767882811528,0.0,0
Pvap16,0.05,2.014767882811528,0.0,0
Pvap17,1.907348633e-06,0.589639410148215,0.0120671845297191,6
Pvap18,9.536743164e-07,0.2585085775565056,0.0030522259859637577,4
Pvap19,4.768371582e-07,0.124323970546505,0.00296803340094353,0
Pvap20,2.384185791e-07,0.06076284091018893,0.002485031997011754,0
