P_simN,P (bar),LoadingVapAds [molec/nm3],dV,t0
Pvap1,3.814697266e-06,0.08350693680129016,0.0019633140434800306,0
Pvap2,7.629394531e-06,0.19927791736671516,0.0025943043755260763,0
Pvap3,1.525878906e-05,0.579126029245311,0.0050208497296070935,0
Pvap4,3.051757813e-05,1.2142590300187601,0.004142406666440477,3
Pvap5,6.103515625e-05,1.5351177797691715,0.0038804673320614823,0
Pvap6,0.0001220703125,1.6915577230624976,0.0038517388764907805,0
Pvap7,0.000244140625,1.7898216834821976,0.004398356016030219,3
Pvap8,0.00048828125,1.8686635244531127,0.0041921604295610815,1
Pvap9,0.0009765625,1.9341480857344275,0.005409620987586471,2
Pvap10,0.001953125,1.9941348057580817,0.004351865648493154,0
Pvap11,0.00390625,2.0250432174312865,0.00416916903822422,0
Pvap12,0.0078125,2.045648825213423,0.003433742104239701,2
Pvap13,0.015625,2.058662893286351,0.0014378649664360892,0
Pvap14,0.03125,2.0605607782136532,0.0,0
Pvap15,0.04,2.0605607782136532,0.0,0
Pvap16,0.05,2.0605607782136532,0.0,0
Pvap17,1.907348633e-06,0.1667427471843943,0.008370040977487348,6
Pvap18,9.536743164e-07,0.033348549436878865,0.0036803473692956367,0
Pvap19,4.768371582e-07,0.0,0.0,0
Pvap20,2.384185791e-07,0.0,0.0,0
