P_simN,P (bar),LoadingVapAds [molec/nm3],dV,t0
Pvap1,3.814697266e-06,0.12523181110585457,0.004941316489511445,0
Pvap2,7.629394531e-06,0.30861901851269513,0.009118165782452364,10
Pvap3,1.525878906e-05,0.6815175919749875,0.011754229434781289,0
Pvap4,3.051757813e-05,1.0522461879633624,0.008420005371243702,0
Pvap5,6.103515625e-05,1.2819262481471072,0.006527855162052429,0
Pvap6,0.0001220703125,1.434777050323766,0.006969760542051742,8
Pvap7,0.000244140625,1.5514856721292893,0.0099378215024032,0
Pvap8,0.00048828125,1.6408405223330433,0.009720918917733723,0
Pvap9,0.0009765625,1.707531163364771,0.009217949962785075,16
Pvap10,0.001953125,1.7644327949030492,0.007776048643834199,0
Pvap11,0.00390625,1.8032030591037065,0.006656819078002011,0
Pvap12,0.0078125,1.8285676846877186,0.005503134693189348,0
Pvap13,0.015625,1.8497852422104664,0.004575080460980584,1
Pvap14,0.03125,1.8677880182903737,0.004766285029457596,1
Pvap15,0.04,1.8754030318331023,0.004642049022860293,8
Pvap16,0.05,1.8832511170304367,0.004848814550082026,0
Pvap17,1.907348633e-06,0.12119726039508967,0.0031170489018027317,0
Pvap18,9.536743164e-07,0.05047206865259701,0.002581090647353021,0
Pvap19,4.768371582e-07,0.01832425422419127,0.0017268867982785684,0
Pvap20,2.384185791e-07,0.003214781442840574,0.0017463877177342976,0
